ID,GovWin ID,NAME,Portfolio,Capture Lead,Business Unit,Include in Moneyball,Expected RFP Release,i3 Role,Stage,Prime Contractor,Total Value,Our Value,Win Probability,Must Win,Status,Actual RFP Release,Award Date,BD_Sales Lead,Competition Type,Complexity,Contract Type,Contract Vehicle,Contracts POC,Customer Type,Estimated Start Date,Modified By,Moneyball,NAICS,Opportunity Type,Primary Agency,Prime POC,Prime POC Email,Proposal or EWP Due,Proposals POC,RFI or IWP,TA completed,Submission Date,Estimated Completion Date,Contract Period Months,Weighted Value,Solicitation #,Solicitation Date,Technical POC,CPEG,Modified
"428",,"CECOM WWFS- ILSC AND SEC (WWFS)","ESI","Rabb, Kelly","AELS","no","7/15/2020","SUB","CANCEL","ManTech","$900,000,000.00","$75,000,000.00","50%","No",,,"3/12/2021",,"F&O","Moderate","TBD","STANDALONE",,"RC","3/12/2021","william.glover@i3-corps.com",,"541990",,"Army",,,"8/15/2020",,,,"9/3/2020","3/12/2026","60","$37,500,000",,,,"Grow","2023-04-28T14:28:22Z"
"429","168255","DISA ENTERPRISE SYSTEMS MGT AND CORP SYSTEMS SUPPORT","CREWS","TBD","ITCE","no","5/20/2022","PRIME","NOBID","i3","$10,000,000.00","$10.00","10%","No",,,"1/20/2023",,"F&O","Moderate","TASKORDER","Purchase Order",,"NB","10/20/2022","william.glover@i3-corps.com",,"541519",,"DOD",,,"6/20/2022",,,,"7/20/2022","10/20/2026","48","$1",,,,"Grow","2023-04-28T14:41:53Z"
"430","161069","DRIMS MITS III","CREWS","TBD","ITCE","no","9/1/2021","SUB","NOBID","TBD","$193,958,000.00","$1.00","10%","No","Need to find a team",,"4/20/2022",,"F&O","Moderate","SINGLE AWA",,,"NB","4/20/2022","william.glover@i3-corps.com",,"541513",,"NASA",,,"10/1/2021",,,,,"4/20/2026","48","$0",,,,"Grow","2023-04-28T14:42:02Z"
"431",,"MANAGEMENT AND OPERATION OF THE OAK RIDGE NATIONAL LABORATOR","CREWS","King, David","ITCE","no","7/12/2023","SUB","NOBID","i3","$1.00","$1.00","10%","No",,,"12/1/2023",,"TBD","Moderate","SOLE SOURC","STANDALONE",,"NB","12/1/2023","william.glover@i3-corps.com",,,,"DOE",,,"8/11/2023",,,,,"12/1/2028","60","$0",,,,"Grow","2023-04-28T14:41:53Z"
"432",,"AMTC 19-04-051 AV-14 Distributed Airspace Exchange","ESI","King, David","SET","no","6/1/2019","PRIME","PROPSUB","i3","$3,800,000.00","$1.00","25%","No",,"5/24/2019","10/10/2019",,"F&O","Straightforward",,"OTA",,"NB","10/9/2020","hannis.watts@i3-corps.com",,"541715","Formal","Army",,,"6/17/2019",,,,,"10/10/2022","24","$0",,,,"Create","2023-03-29T15:55:36Z"
"433",,"AMTC 19-04 GM-11 ADV Space Test and Prop","ESI","Mitchell, Ben","SET","no","6/1/2019","PRIME","PROPSUB","i3","$49,975,000.00","$1.00","10%","No",,"5/24/2019","10/10/2019",,"F&O","Straightforward",,"OTA",,"NB","10/10/2019","hannis.watts@i3-corps.com",,"541715","Formal","Army",,,"6/17/2019",,,,"6/17/2019","10/10/2021","24","$0",,,,"Create","2023-03-29T15:56:09Z"
"434",,"AMTC 19-04-065 MED-04 (Metrology) Non Contact Measurement","ESI","Mitchell, Ben","SET","no","6/1/2021","PRIME","WON","i3","$48,500,000.00","$48,500,000.00","40%","No","Awarded. Working customer calls for use. I.e., NASA via Chase Ortman (Outpost Technologies). Lance Hall (advanced mfg @ PIF)","5/24/2021","9/24/2021",,"F&O","Straightforward",,"OTA",,"NB","9/1/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"6/17/2021",,,,"6/17/2021","9/1/2024","36","$19,400,000",,,,"Protect","2023-02-16T16:50:11Z"
"435",,"AMTC 19-04-GM 04 - PNT","ESI","Mitchell, Ben","AELS","no","6/1/2019","SUB","INACTIVE","CACI","$70,000,000.00","$1.00","50%","No",,"5/24/2021","7/15/2021",,"F&O","Straightforward","CPFF","AMTC OTA",,"NB","8/1/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"6/17/2021",,,,"6/17/2021","8/1/2024","36","$1",,,,"Create","2023-04-28T14:31:01Z"
"436",,"FEDSIM IMAX (was JIDA Global SA)","ESI","Grady, Stephen","ITFS","no","7/1/2021","SUB","CANCEL","CACI","$280,000,000.00","$1.00","25%","No","Working multi-angle deal with CACI to get on their IMAX team in exchange for adding them to RSA opportunity",,"8/1/2021",,"F&O","Moderate","CPFF","GSAOASIS",,"NB","8/1/2021","william.glover@i3-corps.com",,"541715",,"DOD",,,"8/1/2021",,,,,"8/1/2025","48","$0",,,,"Grow","2023-04-28T14:28:22Z"
"437",,"MASPO Tech EXPRESS","ESI","Watts, Rick","AELS","no","1/14/2021","PRIME","LOST","i3","$30,000,000.00","$30,000,000.00","30%","No","Incumbent GDIT (CSRA) won.
Scored Outstanding (Tech), Good (Mgmt), $30M
i3 scored Good (Tech), Acceptable (Mgmt), $34M","1/18/2021","6/25/2021",,"F&O","Moderate","T&M","EXPRESS",,"NB","7/30/2021","william.glover@i3-corps.com",,"541330",,"Army",,,"2/25/2021",,"9/24/2020","Yes","2/24/2021","7/30/2026","60","$9,000,000",,,,"Grow","2023-04-28T14:40:30Z"
"438",,"AIR FORCE AVIATION - ENHANCED TRAINING SUITE VRS (IAC MAC)","TADSS","Hamilton, Lionel","VTSG","no","7/14/2021","PRIME","WON","i3","$13,641,590.00","$13,641,590.00","100%","No","Awarded 30 Nov
","7/8/2021","11/30/2021",,"SBSA","Moderate","TASKORDER","IAC MAC",,"RC","12/15/2021","william.glover@i3-corps.com",,"541715","Organic","Air Force",,,"8/10/2021",,,,"8/9/2021","12/15/2026","60","$13,641,590",,,,"Expand","2023-04-28T14:48:55Z"
"439",,"MQ9 Reaper Mod","ESI","Grady, Stephen","ITFS","no","2/15/2022","PRIME","CANCEL","i3","$99,000,000.00","$99,000,000.00","25%","No",,,"6/15/2022",,"TBD","Straightforward","CPFF","GSAPSS",,"NB - RFQ","6/15/2022","william.glover@i3-corps.com",,"561210",,"Air Force",,,"3/15/2022",,"8/2/2019",,,"6/15/2027","60","$24,750,000",,,,"Expand","2023-04-28T14:32:57Z"
"440","172619","GSA FEDSIM ASTRO","CORP","Watts, Rick","CORP","no","8/24/2020","PRIME","WON","i3","$1.00","$1.00","35%","Yes","Win in Data Operations Pool","8/24/2020","7/28/2021",,"F&O","Moderate","IDIQ","ASTRO",,"NB","7/28/2021","william.glover@i3-corps.com",,"541330",,"Army",,,"10/30/2020",,"8/2/2019","Yes","10/30/2020","7/28/2031","120","$0",,,,"Expand","2023-04-28T14:49:05Z"
"441",,"Apache Intl EXPRESS","ESI","Culver, Lance","AELS","no","8/15/2022","PRIME","CANCEL","i3","$44,000,000.00","$44,000,000.00","75%","No","UPDATE: Will not be recompeted.

Alex and Eric have recused themselves from Apache recompete
LC will talk with Gary Davis - intel gathering (postponed due to GD conflict)
Recompete will be 6 months early - (~RFP Feb/Mar 2022)  
Relationship promises with Sub are complete",,"2/15/2023","hannis.watts@i3-corps.com","TBD","Moderate","T&M","EXPRESS",,"RC","2/15/2023","william.glover@i3-corps.com",,"541330",,"Army",,,"9/15/2022",,"6/15/2022","Planning",,"2/15/2028","60","$33,000,000",,,,"Expand","2023-04-28T14:33:02Z"
"442",,"S3I OASIS M&S Avn & Msl","ESI","Grady, Stephen","ITFS","no","10/10/2019","SUB","WON","Torch Technologies, Inc.","$500,000,000.00","$1.00","50%","Yes","​Testing the status page. ",,"1/21/2021",,"SBSA","Moderate","CPFF","GSAOASIS",,"RC","11/10/2020","william.glover@i3-corps.com",,"541715",,"Army",,,"11/10/2020",,,,,"11/10/2024","48","$1",,,,"Protect","2023-04-28T14:49:44Z"
"443","178146","SEAPORT NXG","ESI","Jacobs, CJ","SET","no","1/29/2021","PRIME","CANCEL","i3","$1.00","$1.00","10%","No",,,"6/30/2021",,"F&O","Straightforward","IDIQ","SEAPORT",,"NB","6/1/2021","william.glover@i3-corps.com",,"541330",,"Navy",,,"2/26/2021",,,,,"6/1/2031","120","$0",,,,"Expand","2023-04-28T14:33:08Z"
"444","177166","CIO SP-4","CREWS","King, David","ITCE","no","4/30/2021","SUB","NOBID","i3","$40,000,000,000.00","$1.00","40%","No",,,"1/15/2022",,"F&O","Difficult","IDIQ","CIO-SP4",,"NB","1/15/2022","william.glover@i3-corps.com",,"541715",,"Army",,,"5/31/2021",,,,,"1/15/2032","120","$0",,,,"Grow","2023-04-28T14:41:53Z"
"445",,"PEO AVN HQ EXPRESS PROG","ESI","Watts, Rick","AELS","no","6/15/2020","SUB","LOST","Canvas Inc","$18,500,000.00","$3,500,000.00","35%","No","​Navigator won with S3, Iron Mountain, Patriots.
Debrief - scored good, good
Digiflight protested.  scored the same and was much cheaper.
Canvas (i3's prime) scored good, acceptable","6/15/2020","1/1/2021",,"SBSA","Straightforward","T&M","AMCOM",,"NB","1/1/2021","william.glover@i3-corps.com",,"541611",,"Army",,,"7/15/2020",,,,"7/15/2020","12/31/2025","59","$1,225,000",,,,"Grow","2023-04-28T14:40:16Z"
"446",,"S3I M&S Aviation and Missile","CREWS","King, David","ITCE","no","6/1/2020","SUB","WON","Torch Technologies, Inc.","$325,000,000.00","$6,500,000.00","80%","No",,"4/16/2020","12/20/2020",,"SBSA","Moderate","TBD","OASIS",,"RC","12/21/2020","william.glover@i3-corps.com",,"541715",,"Army",,,"6/1/2020",,,,"5/27/2020","12/19/2025","59","$5,200,000",,,,"Protect","2023-02-16T16:50:11Z"
"447",,"S3I HWIL M&S Systems Engineering","CREWS","King, David","ITCE","no","6/19/2020","SUB","LOST","Torch Technologies, Inc.","$350,000,000.00","$5,000,000.00","80%","No",,"5/21/2020","1/20/2021",,"F&O","Moderate","TASKORDER","OASIS",,"RC","1/13/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"7/20/2020",,,,"7/17/2020","1/12/2026","59","$4,000,000",,,,"Expand","2023-04-28T14:40:21Z"
"448",,"S3I HWIL Missile","CREWS","King, David","ITCE","no","5/20/2020","SUB","WON","Torch Technologies, Inc.","$1,200,000,000.00","$1,000,000.00","90%","No",,"3/27/2020","11/20/2020",,"SBSA","Moderate","TASKORDER","OASIS",,"RC","5/15/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"5/18/2020",,,,,"5/15/2026","60","$900,000",,,,"Protect","2023-02-16T16:50:11Z"
"449",,"S3I HWIL M&S Systems Development (JSIL Recompete)","TADSS","Kingsborough, Adam","HST","no","6/15/2020","SUB","WON","SAIC","$500,000,000.00","$9,000,000.00","90%","Yes",,"4/17/2020","2/4/2021",,"F&O","Moderate","TASKORDER","OASIS",,"RC","2/28/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"6/15/2020",,,"Yes","6/12/2020","2/28/2026","60","$8,100,000",,,,"Protect","2023-02-16T16:50:11Z"
"450",,"Project 31A","ESI","Howard, Mike","NRL","no","6/10/2020","PRIME","PROPSUB","i3","$20,000,000.00","$1.00","30%","No",,"7/27/2020","11/20/2020",,"F&O","Moderate","SOLE SOURC","STANDALONE",,"NB","1/15/2021","hannis.watts@i3-corps.com",,"541715","Formal","Navy",,,"8/14/2020",,,,,"1/14/2026","59","$0",,,,"Protect","2023-03-29T15:57:24Z"
"451",,"Aerial Systems - PM-AEROS Virtual Interactive Environment (IAC MAC)","TADSS","Reddoch, Jeremy","HST","no","11/19/2020","PRIME","WON","i3","$12,200,000.00","$12,200,000.00","49%","Yes",,,"4/30/2021",,"SBSA","Moderate","TASKORDER","IAC MAC",,"NB","5/14/2021","william.glover@i3-corps.com",,"541715","Organic","Army",,,"12/11/2020",,,,"12/11/2020","4/30/2024","35","$5,978,000",,,,"Expand","2023-04-28T14:49:19Z"
"452",,"IFRCO SWIF OTA - GM-22-02-01","CREWS","King, David","ITCE","no","3/9/2022","PRIME","CANCEL","i3","$29,800,000.00","$29,800,000.00","30%","No","AMTC 22-02 draft rqmts released 2/4/22.
SWIF OTA - GM-22-02-01",,,,"F&O","Moderate","TASKORDER","OASIS",,"NB","7/27/2022","william.glover@i3-corps.com",,"541715","Formal","Army",,,"3/30/2022",,,,"3/29/2022","7/28/2027","60","$8,940,000",,,,"Expand","2023-04-28T14:33:20Z"
"453",,"NRL Onboard Electromagnetic Systems R&D - 5740 BAA","CREWS","Howard, Mike","NRL","no","6/30/2021","PRIME","CANCEL","i3","$40,000,000.00","$40,000,000.00","75%","No","GOV routing proposal eval to NRL Contracts.

**Cancelling this entry and creating new since starting the process over with NRL.   New pipeline %23 is 1130.""","6/8/2021","2/15/2023","hannis.watts@i3-corps.com","SBSA","Difficult","CPFF","BAA",,"NB","3/1/2023","william.glover@i3-corps.com",,"541715","Formal","Navy",,,"7/28/2021",,,,,"3/1/2028","60","$30,000,000",,,,"Create","2023-06-20T15:22:57Z"
"454",,"S3I SSE","CREWS","King, David","ITCE","no","7/15/2021","SUB","WON","COLSA Corporation","$300,000,000.00","$15,000,000.00","80%","Yes","RFP dropped (data calls)",,"3/29/2022",,"F&O","Difficult","TASKORDER","AMCOM",,"RC","5/20/2022","william.glover@i3-corps.com",,"541330",,"Army",,,"8/15/2021",,,"Yes",,"5/20/2027","60","$12,000,000",,,,"Protect","2023-02-16T16:50:11Z"
"455","174399","DIA MSIC SCOAA","CREWS","King, David","ITCE","no","3/22/2021","SUB","LOST","Leidos Inc","$345,000,000.00","$51,750,000.00","20%","No","Colsa won. $345M
i3 had 15% workshare with the Leidos/Dynetics team.","3/22/2021","8/27/2021",,"F&O","Difficult","T&M","DIA",,"NB","9/10/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"5/6/2021",,"4/19/2019","Yes","5/6/2021","9/10/2031","120","$10,350,000",,,,"Expand","2023-04-28T14:40:23Z"
